Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-07-01 09:47:34,false,"Eugene Running","1.46","270","00:20:33","133","179","127","170","14:06","8:46","46","43","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:04.46","2","0.0","00:20:24","00:20:43","474","543"
Running,2021-07-03 10:34:34,false,"Eugene Running","1.64","267","00:21:33","138","183","130","181","13:07","7:26","105","105","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:02.55","2","0.0","00:21:01","00:21:33","427","494"
Running,2021-07-06 10:12:01,false,"Eugene Running","1.82","288","00:23:01","141","190","131","174","12:39","8:49","98","102","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:04.55","2","0.0","00:22:57","00:23:01","403","464"
Running,2021-07-08 08:57:23,false,"Eugene Running","1.83","254","00:23:02","130","181","133","174","12:37","8:35","33","52","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:03.37","2","0.0","00:23:01","00:23:02","402","474"
Running,2021-07-10 09:03:07,false,"Portland Running","1.93","288","00:24:31","133","164","134","173","12:41","8:02","36","43","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:44.67","2","0.0","00:24:27","00:24:31","142","260"
Running,2021-07-13 09:07:49,false,"Eugene - C25k week 4","2.28","328","00:26:35","141","197","143","171","11:41","8:54","79","79","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:04.97","9","0.0","00:26:14","00:27:23","363","465"
Running,2021-07-15 09:45:54,false,"Eugene - C25k week 4","2.34","316","00:26:33","140","192","144","176","11:20","8:41","75","79","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.85","9","0.0","00:26:32","00:26:33","461","530"
Running,2021-07-17 11:15:42,false,"Eugene - C25k week 4","2.32","374","00:26:36","154","193","141","175","11:27","8:51","141","135","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.89","9","0.0","00:26:21","00:26:36","373","465"
Running,2021-07-20 10:32:39,false,"Eugene - C25k week 5 day 1","2.21","338","00:26:04","146","192","139","174","11:46","9:04","105","102","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.81","7","0.0","00:25:55","00:27:03","411","497"
Running,2021-07-22 14:15:49,false,"Eugene - C25k week 5 day 2","2.19","342","00:26:02","145","194","142","165","11:52","9:18","98","92","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.80","5","0.0","00:26:01","00:26:02","400","508"
